"Path","Hash","Bytes"
"C:\Users\peewe\OneDrive\Desktop\homeix\width_531.png","ce2ff9fa5d3ee46cbe6762062b8954845e0f4f4287706467a55138a2bc9f88ce","62090"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\back-symbolic.svg","3a48ffadeb2c6647dee84c2ffe8ec6179b68739a9609e164436707436e417551","1532"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\back.pdf","651ec2268fdd01e08cf8a95a1afb2482d1d0c91b6b3c8a2573c4443a6728a899","1623"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\back.png","1387467f81a7cf5c49d6fdad33280757460d4204a1ade0de540a5a31bfbbe265","380"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\back.svg","3a48ffadeb2c6647dee84c2ffe8ec6179b68739a9609e164436707436e417551","1532"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\back_large.png","f40ea151241eb3385838d13866e1f792f388b4cd097c356eead91fae89826ec4","620"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave-symbolic.svg","74c197bcb48e1cfbb8e24896819c7e07f332fed2d668fe89e8683125f2f8156d","2049"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave.pdf","3f510f3d5da0e74593b7c51a5feea41684d9335c55aa8e92d87e8527a65dd5e7","1734"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave.png","6fb72db9caccfc5da61be0f271379d1bf6bfcb8a47931dc5fb333b975f062e19","458"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave.svg","74c197bcb48e1cfbb8e24896819c7e07f332fed2d668fe89e8683125f2f8156d","2049"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave_large.png","2cd6d10f9299dca7fb9dba7eb2dc7f6b5ffa5df18149651f0dda609a7ce846f9","720"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward-symbolic.svg","90e88aab76b89a278c44b542c1005d38c4d1ad61b634e5ffe7eadb0051e97664","1551"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward.pdf","288a882f8608778dcb91c3b157f4d3e6ebf3d523fc939894354789980125315f","1630"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward.png","a4a6cb7a98068867b26364c2065f2cbe3be6ed9e024b78b2b05c5cab8191fb09","357"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward.svg","90e88aab76b89a278c44b542c1005d38c4d1ad61b634e5ffe7eadb0051e97664","1551"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward_large.png","dfa87b9bb0d90c7aa5ea491da4d3dc9328b62ca09eff1861c9abd6011cffda44","593"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\hand.pdf","86ca7090d63dd7928f0fb00c5a7550b3b2c53ceb65723d155222eeefa74c69b4","4172"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\hand.png","d9c7214444c629ad2160d294c672400709326171013ea272fd5a923e54f45b64","979"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\hand.svg","871c41b5a91a54503b9a964e19a92fa3441471bdb1d3aae88de4b9827566cae7","4906"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\help-symbolic.svg","5d570572ecdc2f7490dcb8df49bb5d2d80e3a01e585248f68e4d8693cbda645f","1890"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\help.pdf","09e13defc20c8b4616ce758a8c84f547c22b3f82a16744bbbac3d4beb79281c0","1813"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\help.png","b38a50aea690d29cbc23bbdcf61bf7048dc33bfb64cbeed804ca5a1ee0430816","472"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\help.svg","5d570572ecdc2f7490dcb8df49bb5d2d80e3a01e585248f68e4d8693cbda645f","1890"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\help_large.png","d48c04c967c64609e809633eafd0891c4a204c9543e67d5cf0b5d32b8009e111","747"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\home-symbolic.svg","a6daeeb3c8793d94e2f5a8587e76b3fae67c3001c2afbd9a3de316e3c4c147d4","1911"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\home.pdf","7b47b4a48f9746d3e6bd4096d954ca2f50de62ed69bcf99451e4528046d69a29","1737"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\home.png","21c15d00051aebf034aadf083b723ca78ae95e942002527c9dd04408287b0b5c","468"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\home.svg","a6daeeb3c8793d94e2f5a8587e76b3fae67c3001c2afbd9a3de316e3c4c147d4","1911"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\home_large.png","bb14b63b7b5638787589abbb09a555e1eae6209699d34ee26e6e59de2f245d88","790"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\matplotlib.pdf","0644947fedb1a228fe7977e9576b7bcb5245286d730f582d57a6808375e2ff01","22852"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\matplotlib.png","c3c28b45855afafa146576b8d618096ae42ea288acdb77f73457dd73bda95186","1283"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\matplotlib.svg","4224c872a950c066953ed1ec124fafb66264d70c70652be28e1a817bf6fd5422","62087"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\matplotlib_large.png","125468b9ef60ad4aa4657267824fa7be1e0629fa6f278804ebd5abca309b5f95","3088"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\move-symbolic.svg","fee6a62e78d0db48b04ae29b77c26f4d7505691ab8db4e8cae9156bed12bafc2","2529"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\move.pdf","0979373c62bd58be6dfb927e1b65f94e5fa76fa95c12b4c14b9a148f64ade9a5","1867"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\move.png","4e68d1e352334b3c466e1894715eb85f4cf1d818ebc5b587ddc48abe71b6bf37","481"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\move.svg","fee6a62e78d0db48b04ae29b77c26f4d7505691ab8db4e8cae9156bed12bafc2","2529"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\move_large.png","4a48f3da75bf453039b3fd20f3c81dab686b55b9ba0ce71f616e05bb8d859fd5","767"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\qt4_editor_options.pdf","daabba195c81ac9bd51f1c9c850a095225cf63107295b1f68fdd109f2b57b3fc","1568"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\qt4_editor_options.png","12bc908d0e61876770988c6dcc216230dd54e939ddd75a750837e01f96478cd3","380"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\qt4_editor_options.svg","b1dacd231613f812ef277d004a76914393f1177481e35fa981d688253d0aa818","1264"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\qt4_editor_options_large.png","f8f77ef55879688af73d96bc3ba19efc12e8e35922127a6691d0e3f1ad752646","619"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots-symbolic.svg","1aae1f0d24bdf51bf9adb47cfe77a757a8dc63956c28f01159e1fe059064f425","2150"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots.pdf","434b323cc23912fb6033e084f985ca3a42fd7855006678ff5f6221a23e91e29e","1714"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots.png","3147c222dab7ff2cdbf724627863a09699f463be21f0803b9b98bbd01eb78917","445"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots.svg","1aae1f0d24bdf51bf9adb47cfe77a757a8dc63956c28f01159e1fe059064f425","2150"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots_large.png","11dbbd4b054c4045c9679a205397325bb54b7305c976175ff84b71c66c5d908b","662"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect-symbolic.svg","b8c99d1a43b8dd91e57b392989e477fcc8aa944739bd139f7d10ce858e2cc66e","1499"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect.pdf","484bcf736e207d946997e747bfb9f1f0a9313f253ae8aab8ce0413bc6166f4a0","1609"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect.png","68dcf741906b220c6ef44f9f15f690c1e095362b46b83505a02dbb7b9354d8be","530"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect.svg","b8c99d1a43b8dd91e57b392989e477fcc8aa944739bd139f7d10ce858e2cc66e","1499"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect_large.png","57aa64c669ba570144c5d83f3c425674adfb1c1ee4ddc13f728acb6bb45b50c9","1016"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\grace_hopper.jpg","a8ca6d734765703b09728ab47fe59f473d93ae3967fc24c7c0288c3c7adb7130","61306"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\logo2.png","0d7371e055decaac47cb6e809af3442e9c1ecd02f1c1e2d063d1cfee4b4a21d7","22279"
"C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\Minduka_Present_Blue_Pack.png","5e72868826a7a4329a950e5a9efa393594807833fb7f27e5cd001a8afb9cd081","13634"
"C:\Users\peewe\OneDrive\Desktop\homeix\outputs\annual_exhibits\exhibit_1_turnover_cashshare_annual.png","3062a0ef2006c16f557d19f7c2768477237c347ceed8bdd0b1a84e5f1ae3107b","117963"
"C:\Users\peewe\OneDrive\Desktop\homeix\outputs\annual_exhibits\exhibit_2a_transaction_levels_annual.png","f0cd1d6efce276dd10807d26b2d51e37820bf8857a9b799cfd5168a17c3fc8cc","114962"
"C:\Users\peewe\OneDrive\Desktop\homeix\outputs\annual_exhibits\exhibit_2b_transaction_mix_shares_annual.png","70234d1d2982eeaa0612c0fa811f302f081cecf8e03925ee6c6ec641a1864269","75614"
"C:\Users\peewe\OneDrive\Desktop\homeix\outputs\annual_exhibits\exhibit_3_mortgage_composition_annual.png","e14673cf47e71bee30f3c5d386d685f5321ddb8a56847bdff2eae64359bef1c1","87182"
"C:\Users\peewe\OneDrive\Desktop\homeix\outputs\annual_exhibits\exhibit_4_price_vs_turnover_index_annual.png","c6a7a8469590276fad236f43978e3a6a7dcffb3165e4e9039a037684916767a8","106084"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_160410\fig_fair_contributions.png","37b23a1def82e466297199039c56d525f40f4be6281dbe4a00bdd4249b40b0ee","149544"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_160410\fig_fair_level.png","951b10434b1252904bfa5dae9c3619c2aa702f2f9ff9f0ca9adf1257094386e9","76884"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_203444\fig_price_and_fair_with_crash_starts.png","e92314b469dc3a962bd722a0d825623e1cdba789193b203dbabea0fcc5031b1e","148678"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_205052\anim_fair_direction_of_flow - Copy.gif","8079062060254a68e2410ae1e8603097e011b239d37a63a416e422cb877a842f","1655961"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_205052\fig_domain_mortgage_stock_gbp_bn.png","d9d3561ceccd6317effe26dbb5f13ed20c54a03924f57edcd0ee48e51e259e7a","58981"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_205052\fig_fair_contributions.png","02cd06a453f12e11bf4db91c280692ac9d09deca553fd0601440de4b9835cede","209197"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_205052\fig_fair_level.png","b8de69098795a5a747f32fa84913e3c3b73e8c6de91ec83bdbbffd56f9150011","156747"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_205052\fig_price_and_fair_with_crash_starts.png","2e6d73c2840f31ed867d4ff2293c3deaefdd94ea70dc3838c41b3d560ce5872e","153017"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\assets\branding\Final-Logo.png","e08c42f9f68ffd8a5cb1e8f2947a4a27070f028cecbe83dc4986ca6d70254c43","94714"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\assets\branding\Final-logomark.png","f93a52b9fd28cb330b37f7ef69b527321e973ee391c36e9d550736d1e718554d","40947"
